"Story","Title","Result","Date","Stability","Duration (s)"
"Bingo test","Getting all Bingo and verifying currency is Sterling","SUCCESS","2023-06-17T17:11:08.832+01:00[Europe/London]","0.0","6.18"
"Bingo test","Getting all Bingo and verifying currency is Euro","SUCCESS","2023-06-17T17:11:15.177+01:00[Europe/London]","0.0","0.23"
